id,key,value,schema,amount
0,category,biomass,supply,1728
1,category,fuel,economy,4560
2,category,import_fuel,economy,1160
3,category,public_heating_plant;biomass,economy,4158
4,category,public_heating_plant;biomass,supply,2772
5,category,public_heating_plant;coal,economy,4158
6,category,public_heating_plant;coal,supply,2772
7,category,public_heating_plant;electricity,economy,8316
8,category,public_heating_plant;electricity,supply,5544
9,category,public_heating_plant;gas,economy,4158
10,category,public_heating_plant;gas,supply,2772
11,category,public_heating_plant;oil,economy,4158
12,category,public_heating_plant;oil,supply,2772
13,category,public_heating_plant;solarthermal,economy,8316
14,category,public_heating_plant;solarthermal,supply,5544
15,category,public_power_plant;combined_heat_and_power_plant;biomass,economy,116424
16,category,public_power_plant;combined_heat_and_power_plant;biomass,supply,77616
17,category,public_power_plant;combined_heat_and_power_plant;coal,economy,54054
18,category,public_power_plant;combined_heat_and_power_plant;coal,supply,36036
19,category,public_power_plant;combined_heat_and_power_plant;gas,economy,108108
20,category,public_power_plant;combined_heat_and_power_plant;gas,supply,72072
21,category,public_power_plant;combined_heat_and_power_plant;geothermal,economy,24948
22,category,public_power_plant;combined_heat_and_power_plant;geothermal,supply,16632
23,category,public_power_plant;combined_heat_and_power_plant;hydro,economy,16632
24,category,public_power_plant;combined_heat_and_power_plant;hydro,supply,11088
25,category,public_power_plant;combined_heat_and_power_plant;lignite,economy,41580
26,category,public_power_plant;combined_heat_and_power_plant;lignite,supply,27720
27,category,public_power_plant;combined_heat_and_power_plant;nuclear,economy,12474
28,category,public_power_plant;combined_heat_and_power_plant;nuclear,supply,8316
29,category,public_power_plant;combined_heat_and_power_plant;oil,economy,41580
30,category,public_power_plant;combined_heat_and_power_plant;oil,supply,27720
31,category,public_power_plant;combined_heat_and_power_plant;pv,economy,13356
32,category,public_power_plant;combined_heat_and_power_plant;pv,supply,4704
33,category,public_power_plant;combined_heat_and_power_plant;solarthermal,economy,8316
34,category,public_power_plant;combined_heat_and_power_plant;solarthermal,supply,5544
35,category,public_power_plant;combined_heat_and_power_plant;waste,economy,8316
36,category,public_power_plant;combined_heat_and_power_plant;waste,supply,5544
37,category,public_power_plant;combined_heat_and_power_plant;wind,economy,23940
38,category,public_power_plant;combined_heat_and_power_plant;wind,supply,11760
39,category,renewables,supply,5280
40,category,storage,economy,256608
41,category,storage,supply,171072
42,costs,fix,economy,249000
43,costs,inv,economy,261600
44,costs,var,economy,249000
45,demand_sector,agriculture,demand,1872
46,demand_sector,commercial,demand,24336
47,demand_sector,commercial,economy,54054
48,demand_sector,commercial,supply,36036
49,demand_sector,household,economy,2736
50,demand_sector,industry,demand,33696
51,demand_sector,industry,economy,3648
52,demand_sector,residential,demand,48672
53,demand_sector,transport,demand,26208
54,demand_sector,transport,economy,5472
55,field,costs,economy,759600
56,field,efficiency,supply,249000
57,field,energy_carrier_price,economy,11856
58,field,lifetime,supply,249000
59,field,potential,supply,7008
60,field,price,economy,5720
61,field,service_demand,demand,134784
