id,key,value,schema,amount
0,category,agriculture,demand,27952
1,category,aviation,supply,46432
2,category,bus,economy,71072
3,category,bus,supply,249944
4,category,capacity,economy,9512
5,category,capacity,supply,224
6,category,car,economy,274816
7,category,car,supply,249944
8,category,combined_heat_and_power_plant;industrial;public,supply,912840
9,category,combined_heat_and_power_plant;industrial;public,,226064
10,category,commercial,demand,27952
11,category,district,economy,189700
12,category,emittant,economy,122880
13,category,emittant,environment,209120
14,category,energy_carrier,demand,27952
15,category,export,supply,224
16,category,household,demand,150560
17,category,household,economy,244936
18,category,household;demand_type;fuel_type,demand,232
19,category,household;demand_type;fuel_type,economy,464
20,category,import,demand,224
21,category,industry,demand,397552
22,category,industry,economy,128016
23,category,industry;subsector,demand,232
24,category,industry;subsector,economy,464
25,category,motorcycle,economy,6392
26,category,motorcycle,supply,18944
27,category,motorcycle,,992
28,category,navigation,supply,24872
29,category,net_import,demand,224
30,category,net_import,economy,176880
31,category,power_plant,economy,6272
32,category,power_plant;industrial;public,supply,680784
33,category,power_plant;industrial;public,,223024
34,category,rail,economy,6392
35,category,rail,supply,37192
36,category,renewables,demand,83272
37,category,sector,demand,114424
38,category,transport,demand,27952
39,category,transport,economy,35616
40,category,truck,supply,357280
41,category,truck_heavy,economy,71072
42,category,truck_heavy,supply,71304
43,category,truck_light,economy,71072
44,category,truck_light,supply,71304
45,category,variable_costs;domestic_production,economy,24872
46,category,variable_costs;household,economy,104952
47,category,variable_costs;industry,economy,46200
48,electricity_storage,battery,supply,21560
49,electricity_storage,battery,,6160
50,field,activity,economy,297072
51,field,biomass_production,supply,18712
52,field,co2_price,economy,2384
53,field,co2_price,environment,3080
54,field,co2_price,,48608
55,field,costs,economy,680560
56,field,discount_rate,economy,2152
57,field,domestic_production,supply,27952
58,field,electricity_exchange,demand,448
59,field,electricity_exchange,economy,248792
60,field,electricity_exchange,supply,448
61,field,electricity_price,economy,143412
62,field,electricity_price,,224
63,field,electricity_production,supply,454320
64,field,emissions,environment,208256
65,field,external_costs,economy,122880
66,field,final_energy_consumption,demand,763864
67,field,fix_costs,economy,696
68,field,fuel_input,supply,837000
69,field,fuel_input,,449088
70,field,fuel_price,economy,6272
71,field,heat_price,economy,189700
72,field,heat_production,supply,228152
73,field,installed_capacity,supply,454384
74,field,inv_costs,economy,696
75,field,net_electricity_consumption,demand,95712
76,field,net_import,demand,27952
77,field,new_installed_capacity,supply,456304
78,field,primary_energy_consumption,demand,68224
79,field,var_costs,economy,928
80,field,vehicle_stock,supply,290680
