id,key,value,schema,model,amount
0,category,carbon,economy,newage,1478
1,category,emission,economy,newage,58320
2,category,labor;skilled,economy,newage,82620
3,category,labor;unskilled,economy,newage,82620
4,category,skilled,economy,newage,4860
5,category,total,economy,newage,4860
6,category,unskilled,economy,newage,4860
7,field,balance_of_trade;net_exports;nx,economy,newage,43740
8,field,electricity,economy,newage,58320
9,field,employment,economy,newage,14580
10,field,energy,economy,newage,77760
11,field,export,economy,newage,43740
12,field,gross_domestic_product;gdp,economy,newage,4860
13,field,gross_value_added;gva,economy,newage,252720
14,field,import,economy,newage,43740
15,field,price,economy,newage,1478
16,field,relative_world_trade_share,economy,newage,43740
17,field,revealed_comparative_advantage;rca,economy,newage,43740
18,field,welfare,economy,newage,4374
